Question,Answer,Name
"magnanimus, magnanima, magnanimum","great-hearted, brave, magnanimous","magnanimus, magnanima, magnanimum"
"ferōx, ferōcis","fierce, savage","ferōx, ferōcis"
"fidēlis, fidēle","fathful, loyal","fidēlis, fidēle"
"geminus, gemina, geminum","twin","geminus, gemina, geminum"
"sapiēns, sapientis","wise, judicious","sapiēns, sapientis"
"ultimus, ultima, ultimum","farthest, extreme; last, final","ultimus, ultima, ultimum"
"quoddam","gen. cuiusdam, dat. cuidam, etc.; a certain, some","quoddam"
"pudīcus, pudīca, pudīcum","modest, chaste","pudīcus, pudīca, pudīcum"
"superbus, superba, superbum","arrogant, overbearing, haughty, proud","superbus, superba, superbum"
"trīstis, trīste","sad, sorrowful; joyless, grim, severe","trīstis, trīste"
"turpis, turpe","ugly; shameful, base, disgraceful","turpis, turpe"
"urbānus, urbāna, urbānum","of the city, urban; urbane, elegant","urbānus, urbāna, urbānum"
"gravis, grave","heavy, weighty; serious, important; severe grevious","gravis, grave"
"dīligēns, gen. dīligentis","diligent, careful","dīligēns, dīligentis"
"dissimilis, dissimile","unlike, different","dissimilis, dissimile"
"gracilis, gracile","slender, thin","gracilis, gracile"
"humilis, humile","lowly, humble","humilis, humile"
"maior, maius","comp. adj.; greater, older","maior, maius"
"prīmus, prīma, prīmum","first, foremost, chief, principal","prīmus, prīma, prīmum"
"quot","indecl. adj.; how many, as many as","quot"
"similis, simile","+gen. or +dat. similar (to), like, resembling"
"superus, supera, superum","above, upper","superus, supera, superum"
"ūtilis, ūtile","useful, advantageous","ūtilis, ūtile"
"bonus, bona, bonum","good, kind (compar.) melior (superl.) optimus ","bonus, bona, bonum"
"magnus, magna, magnum","large, great, important (compar.) maior (superl.) maximus","magnus, magna, magnum"
"malus, mala, malum","bad, wicked, evil (compar.) peior (superl.) pessimus","malus, mala, malum"
"multus, multa, multum","much, many (compar.) plūs (superl.) plurimus","multus, multa, multum"
"parvus, parva, parvum","small, little (compar.) minor (superl.) minimus","parvus, parva, parvum"
"superus, supera, superum","above, upper (compar.) superior (superl.) summus (highest), suprēmus (last)","superus, supera, superum"
