"1st nom. sg.","ego","1st nom. sg."
"1st gen. sg.","meī","1st gen. sg."
"1st dat. sg.","mihi","1st dat. sg."
"1st acc. sg.","mē","1st acc. sg."
"1st abl. sg.","mē","1st abl. sg."
"1st nom. pl.","nōs","1st nom. pl."
"1st gen. pl.","nostrum/nostrī","1st gen. pl."
"1st dat. pl.","nōbīs","1st dat. pl."
"1st acc. pl.","nōs","1st acc. pl."
"1st abl. pl.","nōbīs","1st abl. pl."
"2nd nom. sg.","tū","2nd nom. sg."
"2nd gen. sg.","tuī","2nd gen. sg."
"2nd dat. sg.","tibi","2nd dat. sg."
"2nd acc. sg.","tē","2nd acc. sg."
"2nd abl. sg.","tē","2nd abl. sg."
"2nd nom. pl.","vōs","2nd nom. pl."
"2nd gen. pl.","vestrum/vestrī","2nd gen. pl."
"2nd dat. pl.","vōbīs","2nd dat. pl."
"2nd acc. pl.","vōs","2nd acc. pl."
"2nd abl. pl.","vōbīs","2nd abl. pl."
"3rd m. nom. sg.","is","3rd m. nom. sg."
"3rd m. gen. sg.","eius","3rd m. gen. sg."
"3rd m. dat. sg.","eī","3rd m. dat. sg."
"3rd m. acc. sg.","eum","3rd m. acc. sg."
"3rd m. abl. sg.","eō","3rd m. abl. sg."
"3rd m. nom. pl.","eī","3rd m. nom. pl."
"3rd m. gen. pl.","eōrum","3rd m. gen. pl."
"3rd m. dat. pl.","eīs","3rd m. dat. pl."
"3rd m. acc. pl.","eōs","3rd m. acc. pl."
"3rd m. abl. pl.","eīs","3rd m. abl. pl."
"3rd f. nom. sg.","ea","3rd f. nom. sg."
"3rd f. gen. sg.","eius","3rd f. gen. sg."
"3rd f. dat. sg.","eī","3rd f. dat. sg."
"3rd f. acc. sg.","eam","3rd f. acc. sg."
"3rd f. abl. sg.","eā","3rd f. abl. sg."
"3rd f. nom. pl.","eae","3rd f. nom. pl."
"3rd f. gen. pl.","eārum","3rd f. gen. pl."
"3rd f. dat. pl.","eīs","3rd f. dat. pl."
"3rd f. acc. pl.","eās","3rd f. acc. pl."
"3rd f. abl. pl.","eīs","3rd f. abl. pl."
"3rd n. nom. sg.","id","3rd n. nom. sg."
"3rd n. gen. sg.","eius","3rd n. gen. sg."
"3rd n. dat. sg.","eī","3rd n. dat. sg."
"3rd n. acc. sg.","id","3rd n. acc. sg."
"3rd n. abl. sg.","eō","3rd n. abl. sg."
"3rd n. nom. pl.","ea","3rd n. nom. pl."
"3rd n. gen. pl.","eōrum","3rd n. gen. pl."
"3rd n. dat. pl.","eīs","3rd n. dat. pl."
"3rd n. acc. pl.","ea","3rd n. acc. pl."
"3rd n. abl. pl.","eīs","3rd n. abl. pl."
