"perf. indic. act. 1st sg.","-ī","perf. indic. act. 1st sg."
"perf. indic. act. 2nd sg.","-istī","perf. indic. act. 2nd sg."
"perf. indic. act. 3rd sg.","-it","perf. indic. act. 3rd sg."
"perf. indic. act. 1st pl.","-imus","perf. indic. act. 1st pl."
"perf. indic. act. 2nd pl.","-istis","perf. indic. act. 2nd pl."
"perf. indic. act. 3rd pl.","-ērunt","perf. indic. act. 3rd pl."
"fut. perf. indic. act. 1st sg.","-erō","fut. perf. indic. act. 1st sg."
"fut. perf. indic. act. 2nd sg.","-eris","fut. perf. indic. act. 2nd sg."
"fut. perf. indic. act. 3rd sg.","-erit","fut. perf. indic. act. 3rd sg."
"fut. perf. indic. act. 1st pl.","-erimus","fut. perf. indic. act. 1st pl."
"fut. perf. indic. act. 2nd pl.","-eritis","fut. perf. indic. act. 2nd pl."
"fut. perf. indic. act. 3rd pl.","-erint","fut. perf. indic. act. 3rd pl."
"pluperf. indic. act. 1st sg.","-eram","pluperf. indic. act. 1st sg."
"pluperf. indic. act. 2nd sg.","-erās","pluperf. indic. act. 2nd sg."
"pluperf. indic. act. 3rd sg.","-erat","pluperf. indic. act. 3rd sg."
"pluperf. indic. act. 1st pl.","-erāmus","pluperf. indic. act. 1st pl."
"pluperf. indic. act. 2nd pl.","-erātis","pluperf. indic. act. 2nd pl."
"pluperf. indic. act. 3rd pl.","-erant","pluperf. indic. act. 3rd pl."
