"rel. pron.; m. nom. sg.","quī","rel. pron.; m. nom. sg."
"rel. pron.; m. gen. sg.","cuius","rel. pron.; m. gen. sg."
"rel. pron.; m. dat. sg.","cui","rel. pron.; m. dat. sg."
"rel. pron.; m. acc. sg.","quem","rel. pron.; m. acc. sg."
"rel. pron.; m. abl. sg.","quō","rel. pron.; m. abl. sg."
"rel. pron.; m. nom. pl.","quī","rel. pron.; m. nom. pl."
"rel. pron.; m. gen. pl.","quōrum","rel. pron.; m. gen. pl."
"rel. pron.; m. dat. pl.","quibus","rel. pron.; m. dat. pl."
"rel. pron.; m. acc. pl.","quōs","rel. pron.; m. acc. pl."
"rel. pron.; m. abl. pl.","quibus","rel. pron.; m. abl. pl."
"rel. pron.; f. nom. sg.","quae","rel. pron.; f. nom. sg."
"rel. pron.; f. gen. sg.","cuius","rel. pron.; f. gen. sg."
"rel. pron.; f. dat. sg.","cui","rel. pron.; f. dat. sg."
"rel. pron.; f. acc. sg.","quam","rel. pron.; f. acc. sg."
"rel. pron.; f. abl. sg.","quā","rel. pron.; f. abl. sg."
"rel. pron.; f. nom. pl.","quae","rel. pron.; f. nom. pl."
"rel. pron.; f. gen. pl.","quārum","rel. pron.; f. gen. pl."
"rel. pron.; f. dat. pl.","quibus","rel. pron.; f. dat. pl."
"rel. pron.; f. acc. pl.","quās","rel. pron.; f. acc. pl."
"rel. pron.; f. abl. pl.","quibus","rel. pron.; f. abl. pl."
"rel. pron.; n. nom. sg.","quod","rel. pron.; n. nom. sg."
"rel. pron.; n. gen. sg.","cuius","rel. pron.; n. gen. sg."
"rel. pron.; n. dat. sg.","cui","rel. pron.; n. dat. sg."
"rel. pron.; n. acc. sg.","quod","rel. pron.; n. acc. sg."
"rel. pron.; n. abl. sg.","quō","rel. pron.; n. abl. sg."
"rel. pron.; n. nom. pl.","quae","rel. pron.; n. nom. pl."
"rel. pron.; n. gen. pl.","quōrum","rel. pron.; n. gen. pl."
"rel. pron.; n. dat. pl.","quibus","rel. pron.; n. dat. pl."
"rel. pron.; n. acc. pl.","quae","rel. pron.; n. acc. pl."
"rel. pron.; n. abl. pl.","quibus","rel. pron.; n. abl. pl."
