"comp. adj. m./f. nom. sg.","-ior","comp. adj. m./f. nom. sg."
"comp. adj. m./f. gen. sg.","-iōris","comp. adj. m./f. gen. sg."
"comp. adj. m./f. dat. sg.","-iōrī","comp. adj. m./f. dat. sg."
"comp. adj. m./f. acc. sg.","-iōrem","comp. adj. m./f. acc. sg."
"comp. adj. m./f. abl. sg.","-iōre","comp. adj. m./f. abl. sg."
"comp. adj. m./f. nom. pl.","-iōrēs","comp. adj. m./f. nom. pl."
"comp. adj. m./f. gen. pl.","-iōrum","comp. adj. m./f. gen. pl."
"comp. adj. m./f. dat. pl.","-iōribus","comp. adj. m./f. dat. pl."
"comp. adj. m./f. acc. pl.","-iōrēs","comp. adj. m./f. acc. pl."
"comp. adj. m./f. abl. pl.","-iōribus","comp. adj. m./f. abl. pl."
"comp. adj. n. nom. sg.","-ius","comp. adj. n. nom. sg."
"comp. adj. n. gen. sg.","-iōris","comp. adj. n. gen. sg."
"comp. adj. n. dat. sg.","-iōrī","comp. adj. n. dat. sg."
"comp. adj. n. acc. sg.","-ius","comp. adj. n. acc. sg."
"comp. adj. n. abl. sg.","-iōre","comp. adj. n. abl. sg."
"comp. adj. n. nom. pl.","-iōra","comp. adj. n. nom. pl."
"comp. adj. n. gen. pl.","-iōrum","comp. adj. n. gen. pl."
"comp. adj. n. dat. pl.","-iōribus","comp. adj. n. dat. pl."
"comp. adj. n. acc. pl.","-iōra","comp. adj. n. acc. pl."
"comp. adj. n. abl. pl.","-iōribus","comp. adj. n. abl. pl."
