"adulēscentia, adulēscentiae","f. 1st youth, young manhood; youthfulness","adulēscentia, adulēscentiae"
"animī, animōrum","m. 2nd pl. high spirits, pride, courage","animī, animōrum"
"animus, animī","m. 2nd soul, spirit, mind","animus, animī"
"caelum, caelī","n. 2nd sky, heaven","caelum, caelī"
"culpa, culpae","f. 1st fault, blame","culpa, culpae"
"glōria, glōriae","f. 1st glory, fame","glōria, glōriae"
"verbum, verbī",m. 2nd word,"verbum, verbī"
"līber, lībera, līberum",free,"līber, lībera, līberum"
"noster, nostra, nostrum","our, ours","noster, nostra, nostrum"
"pulcher, pulchra, pulchrum","beautiful, handsome; fine","pulcher, pulchra, pulchrum"
"sānus, sāna, sānum","sound, healthy, sane","sānus, sāna, sānum"
igitur,"postpositive; therefore, consequently",igitur
"-ne","suffix attached to the first word of a sentence to introduce a question whose answer is uncertain","-ne"
propter,"+ acc., on account of, because of",propter
crās,tomorrow,crās
heri,yesterday,heri
quandō,when,quandō
"sī quandō","if ever","sī quandō"
satis,"enough, sufficient (ly)",satis
tum,"then, at that time; thereupon, in the next place",tum
"cēnō, cēnāre, cēnāvī, cēnātum",to dine,"cēnō, cēnāre, cēnāvī, cēnātum"
"culpō, culpāre, culpāvī, culpātum","to blame, censure","culpō, culpāre, culpāvī, culpātum"
"maneō, manēre, mānsī, mānsum","to remain, stay, stay behind, abide, continue","maneō, manēre, mānsī, mānsum"
"superō, superāre, superāvī, superātum",to be above,"superō, superāre, superāvī, superātum"
"1st fut. indic. act. 1st sg.","-ābō","1st fut. indic. act. 1st sg."
"1st fut. indic. act. 2nd sg.","-ābis","1st fut. indic. act. 2nd sg."
"1st fut. indic. act. 3rd sg.","-ābit","1st fut. indic. act. 3rd sg."
"1st fut. indic. act. 1st pl.","-ābimus","1st fut. indic. act. 1st pl."
"1st fut. indic. act. 2nd pl.","-ābitis","1st fut. indic. act. 2nd pl."
"1st fut. indic. act. 3rd pl.","-ābunt","1st fut. indic. act. 3rd pl."
"2nd fut. indic. act. 1st sg.","-ēbō","2nd fut. indic. act. 1st sg."
"2nd fut. indic. act. 2nd sg.","-ēbis","2nd fut. indic. act. 2nd sg."
"2nd fut. indic. act. 3rd sg.","-ēbit","2nd fut. indic. act. 3rd sg."
"2nd fut. indic. act. 1st pl.","-ēbimus","2nd fut. indic. act. 1st pl."
"2nd fut. indic. act. 2nd pl.","-ēbitis","2nd fut. indic. act. 2nd pl."
"2nd fut. indic. act. 3rd pl.","-ēbunt","2nd fut. indic. act. 3rd pl."
"1st imperf. indic. act. 1st sg.","-ābam","1st imperf. indic. act. 1st sg."
"1st imperf. indic. act. 2nd sg.","-ābās","1st imperf. indic. act. 2nd sg."
"1st imperf. indic. act. 3rd sg.","-ābat","1st imperf. indic. act. 3rd sg."
"1st imperf. indic. act. 1st pl.","-ābāmus","1st imperf. indic. act. 1st pl."
"1st imperf. indic. act. 2nd pl.","-ābātis","1st imperf. indic. act. 2nd pl."
"1st imperf. indic. act. 3rd pl.","-ābant","1st imperf. indic. act. 3rd pl."
"2nd imperf. indic. act. 1st sg.","-ēbam","2nd imperf. indic. act. 1st sg."
"2nd imperf. indic. act. 2nd sg.","-ēbās","2nd imperf. indic. act. 2nd sg."
"2nd imperf. indic. act. 3rd sg.","-ēbat","2nd imperf. indic. act. 3rd sg."
"2nd imperf. indic. act. 1st pl.","-ēbāmus","2nd imperf. indic. act. 1st pl."
"2nd imperf. indic. act. 2nd pl.","-ēbātis","2nd imperf. indic. act. 2nd pl."
"2nd imperf. indic. act. 3rd pl.","-ēbant","2nd imperf. indic. act. 3rd pl."
