"this, these; m. nom. sg.","hic","this, these; m. nom. sg."
"this, these; m. gen. sg.","huius","this, these; m. gen. sg."
"this, these; m. dat. sg.","huic","this, these; m. dat. sg."
"this, these; m. acc. sg.","hunc","this, these; m. acc. sg."
"this, these; m. abl. sg.","hōc","this, these; m. abl. sg."
"this, these; m. nom. pl.","hī","this, these; m. nom. pl."
"this, these; m. gen. pl.","hōrum","this, these; m. gen. pl."
"this, these; m. dat. pl.","hīs","this, these; m. dat. pl."
"this, these; m. acc. pl.","hōs","this, these; m. acc. pl."
"this, these; m. abl. pl.","hīs","this, these; m. abl. pl."
"this, these; f. nom. sg.","haec","this, these; f. nom. sg."
"this, these; f. gen. sg.","huius","this, these; f. gen. sg."
"this, these; f. dat. sg.","huic","this, these; f. dat. sg."
"this, these; f. acc. sg.","hanc","this, these; f. acc. sg."
"this, these; f. abl. sg.","hāc","this, these; f. abl. sg."
"this, these; f. nom. pl.","hae","this, these; f. nom. pl."
"this, these; f. gen. pl.","hārum","this, these; f. gen. pl."
"this, these; f. dat. pl.","hīs","this, these; f. dat. pl."
"this, these; f. acc. pl.","hās","this, these; f. acc. pl."
"this, these; f. abl. pl.","hīs","this, these; f. abl. pl."
"this, these; n. nom. sg.","hoc","this, these; n. nom. sg."
"this, these; n. gen. sg.","huius","this, these; n. gen. sg."
"this, these; n. dat. sg.","huic","this, these; n. dat. sg."
"this, these; n. acc. sg.","hoc","this, these; n. acc. sg."
"this, these; n. abl. sg.","hōc","this, these; n. abl. sg."
"this, these; n. nom. pl.","haec","this, these; n. nom. pl."
"this, these; n. gen. pl.","hōrum","this, these; n. gen. pl."
"this, these; n. dat. pl.","hīs","this, these; n. dat. pl."
"this, these; n. acc. pl.","haec","this, these; n. acc. pl."
"this, these; n. abl. pl.","hīs","this, these; n. abl. pl."
"that, those; m. nom. sg.","ille","that, those; m. nom. sg."
"that, those; m. gen. sg.","illīus","that, those; m. gen. sg."
"that, those; m. dat. sg.","illī","that, those; m. dat. sg."
"that, those; m. acc. sg.","illum","that, those; m. acc. sg."
"that, those; m. abl. sg.","illō","that, those; m. abl. sg."
"that, those; m. nom. pl.","illī","that, those; m. nom. pl."
"that, those; m. gen. pl.","illōrum","that, those; m. gen. pl."
"that, those; m. dat. pl.","illīs","that, those; m. dat. pl."
"that, those; m. acc. pl.","illōs","that, those; m. acc. pl."
"that, those; m. abl. pl.","illīs","that, those; m. abl. pl."
"that, those; f. nom. sg.","illa","that, those; f. nom. sg."
"that, those; f. gen. sg.","illīus","that, those; f. gen. sg."
"that, those; f. dat. sg.","illī","that, those; f. dat. sg."
"that, those; f. acc. sg.","illam","that, those; f. acc. sg."
"that, those; f. abl. sg.","illā","that, those; f. abl. sg."
"that, those; f. nom. pl.","illae","that, those; f. nom. pl."
"that, those; f. gen. pl.","illārum","that, those; f. gen. pl."
"that, those; f. dat. pl.","illīs","that, those; f. dat. pl."
"that, those; f. acc. pl.","illās","that, those; f. acc. pl."
"that, those; f. abl. pl.","illīs","that, those; f. abl. pl."
"that, those; n. nom. sg.","illud","that, those; n. nom. sg."
"that, those; n. gen. sg.","illīus","that, those; n. gen. sg."
"that, those; n. dat. sg.","illī","that, those; n. dat. sg."
"that, those; n. acc. sg.","illud","that, those; n. acc. sg."
"that, those; n. abl. sg.","illō","that, those; n. abl. sg."
"that, those; n. nom. pl.","illa","that, those; n. nom. pl."
"that, those; n. gen. pl.","illōrum","that, those; n. gen. pl."
"that, those; n. dat. pl.","illīs","that, those; n. dat. pl."
"that, those; n. acc. pl.","illa","that, those; n. acc. pl."
"that, those; n. abl. pl.","illīs","that, those; n. abl. pl."
"that (near you); m. nom. sg.","iste","that (near you); m. nom. sg."
"that (near you); m. gen. sg.","istīus","that (near you); m. gen. sg."
"that (near you); m. dat. sg.","istī","that (near you); m. dat. sg."
"that (near you); m. acc. sg.","istum","that (near you); m. acc. sg."
"that (near you); m. abl. sg.","istō","that (near you); m. abl. sg."
