"amō, amāre, amāvī, amātum","to love, like","amō, amāre, amāvī, amātum"
"cōgitō, cōgitāre, cogitāvī, cogitātum","to think, ponder, consider, plan","cōgitō, cōgitāre, cogitāvī, cogitātum"
"dēbeō, dēbēre, debuī, debitum","to owe, ought, must, should","dēbeō, dēbēre, debuī, debitum"
"dō, dare, dedī, datum","to give, offer","dō, dare, dedī, datum"
"errō, errāre, errāvī, errātum","to wonder, err, go astray, make a mistake, be mistaken","errō, errāre, errāvī, errātum"
"laudō, laudāre, laudāvī, laudātum",to praise,"laudō, laudāre, laudāvī, laudātum"
"moneō, monēre, monuī, monitum","to remind, advise, warn","moneō, monēre, monuī, monitum"
"servō, servāre, servāvī, servātum","to preserve, save, keep, guard","servō, servāre, servāvī, servātum"
"cōnservō, cōnservāre, cōnservāvī","to preserve, conserve, maintain(a stronger form of servāre)","cōnservō, cōnservāre, cōnservāvī"
"terreō, terrēre, terruī, territum","to frighten, terrify","terreō, terrēre, terruī, territum"
"videō, vidēre, vīdī, vīsum","to see, observe, understand","videō, vidēre, vīdī, vīsum"
"vocō, vocāre, vocāvī, vocātum","to call, summon","vocō, vocāre, vocāvī, vocātum"
"salveō, salvēre","to be well, be in good health","salveō, salvēre"
"valeō, valēre, valuī, valitūrum","to be strong, have power, be well","valeō, valēre, valuī, valitūrum"
"habeō, habēre, habuī, habitum","to have, hold, possess; consider, regard","habeō, habēre, habuī, habitum"
"satiō, satiāre, satiāvī, satiātum","to satisfy, sate","satiō, satiāre, satiāvī, satiātum"
"iuvō, iuvāre, iuvāvī, iuvātum","to help, aid, assist; please","iuvō, iuvāre, iuvāvī, iuvātum"
"sum, esse, fuī, futūrum","to be, exist","sum, esse, fuī, futūrum"
"cēnō, cēnāre, cēnāvī, cēnātum",to dine,"cēnō, cēnāre, cēnāvī, cēnātum"
"culpō, culpāre, culpāvī, culpātum","to blame, censure","culpō, culpāre, culpāvī, culpātum"
"maneō, manēre, mānsī, mānsum","to remain, stay, stay behind, abide, continue","maneō, manēre, mānsī, mānsum"
"superō, superāre, superāvī, superātum",to be above,"superō, superāre, superāvī, superātum"
"possum, posse, potuī","to be able, can, could, have power","possum, posse, potuī"
"tolerō, tolerāre, tolerāvī, tolerātum","to bear, endure","tolerō, tolerāre, tolerāvī, tolerātum"
"audeō, audēre, ausus sum",to dare,"audeō, audēre, ausus sum"
"necō, necāre, necāvī, necātum","to murder, kill","necō, necāre, necāvī, necātum"
"agō, agere, ēgī, āctum","to drive, lead, do, act, pass","agō, agere, ēgī, āctum"
"dēmōnstrō, dēmōnstrāre, dēmōnstrāvī, dēmōnstrātum","to point out, show, demonstrate","dēmōnstrō, dēmōnstrāre, dēmōnstrāvī, dēmōnstrātum"
"discō, discere, didicī",to learn,"discō, discere, didicī"
"doceō, docēre, docuī, doctum",to teach,"doceō, docēre, docuī, doctum"
"dūcō, dūcere, dūxī, ductum","to lead; consider, regard; prolong","dūcō, dūcere, dūxī, ductum"
"gerō, gerere, gessī, gestum","to carry; carry on, manage, conduct, wage, accomplish, perform","gerō, gerere"
"scrībō, scrībere, scrīpsį, scrīptum","to write, compose","scrībō, scrībere, scrīpsį, scrīptum"
"trahō, trahere, trāxī, tractum","to draw, drag;derive, acquire","trahō, trahere, trāxī, tractum"
"vincō, vincere, vīcī, victum","to conquer, overcome","vincō, vincere, vīcī, victum"
"audiō, audīre, audīvī, audītum","to hear, listen to","audiō, audīre, audīvī, audītum"
"capiō, capere, cēpī, captum","to take, capture, sieze, get","capiō, capere, cēpī, captum"
"dīcō, dīcere, dīxī, dictum","to say, tell, speak; name, call","dīcō, dīcere, dīxī, ductum"
"faciō, facere, fēcī, factum","to make, do, accomplish","faciō, facere, fēcī, factum"
"fugiō, fugere, fūgī, fugitūrum,","to flee, hurry away; escape; go into exile; avoid, shun","fugiō, fugere, fūgī, fugitūrum,"
"veniō, venīre, vēnī, ventum",to come,"veniō, venīre, vēnī, ventum"
"inveniō, invenīre, invēnī, inventum","to come upon, find","inveniō, invenīre, invēnī, inventum"
"vivō, vīvere, vīxī, vīctum",to live,"vivō, vīvere, vīxī, vīctum"
"intellegō, intellegere, intellēxī, intellēctum",to understand,"intellegō, intellegere, intellēxī, intellēctum"
"mittō, mittere, mīsī, missum","send, let go","mittō, mittere, mīsī, missum"
"sentiō, sentīre, sēnsī, sēnsum","to feel, perceive, think, experience","sentiō, sentīre, sēnsī, sēnsum"
"āmittō, āmittere, āmīsī, āmissum","to send away; lose, let go","āmittō, āmittere, āmīsī, āmissum"
"cadō, cadere, cecidī, cāsūrum",to fall,"cadō, cadere, cecidī, cāsūrum"
"creō, creāre, creāvī, creātum",to create,"creō, creāre, creāvī, creātum"
"mittō, mittere, mīsī, missum","to send; let go; throw, hurl;","āmittō, āmittere, āmīsī, āmissum"
"alō, alere, aluī, altum","to nourish, support, sustain, increase; cherish","alō, alere, aluī, altum"
"dīligō, dīligere, dīlēxī, dīlēctum","to esteem, love","dīligō, dīligere, dīlēxī, dīlēctum"
"iungō, iungere, iūnxī, iūnctum",to join,"iungō, iungere, iūnxī, iūnctum"
"stō, stāre, stetī, statum","to stand, stand still or firm","stō, stāre, stetī, statum"
