nōn,not,nōn
saepe,often,saepe
sī,if,sī
"amō, amāre, amāvī, amātum","to love, like","amō, amāre, amāvī, amātum"
"cōgitō, cōgitāre, cogitāvī, cogitātum","to think, ponder, consider, plan","cōgitō, cōgitāre, cogitāvī, cogitātum"
"dēbeō, dēbēre, debuī, debitum","to owe, ought, must, should","dēbeō, dēbēre, debuī, debitum"
"dō, dare, dedī, datum","to give, offer","dō, dare, dedī, datum"
"errō, errāre, errāvī, errātum","to wonder, err, go astray, make a mistake, be mistaken","errō, errāre, errāvī, errātum"
"laudō, laudāre, laudāvī, laudātum",to praise,"laudō, laudāre, laudāvī, laudātum"
"moneō, monēre, monuī, monitum","to remind, advise, warn","moneō, monēre, monuī, monitum"
"servō, servāre, servāvī, servātum","to preserve, save, keep, guard","servō, servāre, servāvī, servātum"
"cōnservō, cōnservāre, cōnservāvī","to preserve, conserve, maintain(a stronger form of servāre)","cōnservō, cōnservāre, cōnservāvī"
"terreō, terrēre, terruī, territum","to frighten, terrify","terreō, terrēre, terruī, territum"
"videō, vidēre, vīdī, vīsum","to see, observe, understand","videō, vidēre, vīdī, vīsum"
"vocō, vocāre, vocāvī, vocātum","to call, summon","vocō, vocāre, vocāvī, vocātum"
"salveō, salvēre","to be well, be in good health","salveō, salvēre"
"salvē, salvēte","hello, greetings!","salvē, salvēte"
"valeō, valēre, valuī, valitūrum","to be strong, have power, be well","valeō, valēre, valuī, valitūrum"
"valē, valēte","good-bye, farewell","valē, valēte"
"fāma, fāmae","f. 1st rumor, report; fame, reputation","fāma, fāmae"
"fōrma, fōrmae","f. 1st form, shape; beauty","fōrma, fōrmae"
"fortūna, fortūnae","f. 1st fortune, luck","fortūna, fortūnae"
"īra, īrae","f. 1st ire, anger","īra, īrae"
"nauta, nautae",m. 1st sailor,"nauta, nautae"
"patria, patriae","f. 1st fatherland, native land, (one's) country","patria, patriae"
"pecūnia, pecūniae",f. 1st money,"pecūnia, pecūniae"
"philosophia, philosophiae",f. 1st philosophy,"philosophia, philosophiae"
"poena, poenae","f. 1st penalty, punishment","poena, poenae"
"poēta, poētae",m. 1st poet,"poēta, poētae"
"porta, portae","f. 1st gate, entrance","porta, portae"
"puella, puellae",f. 1st girl,"puella, puellae"
"rosa, rosae",f. 1st rose,"rosa, rosae"
"sententia, sententiae","f. 1st feeling, thought, opinion, vote, sentence","sententia, sententiae"
"vīta, vītae","f. 1st life, mode of life","vīta, vītae"
"antīquus, antīqua, antīquum","ancient, old time","antīquus, antīqua, antīquum"
"magnus, magna, magnum","large, great, important (compar.) maior (superl.) maximus","magnus, magna, magnum"
"meus, mea, meum",my,"meus, mea, meum"
"tuus, tua, tuum","your, yours (sg.)","tuus, tua, tuum"
et,and; even,et
et ... et,both … and,et ... et
sed,but,sed
"Ō","O!, Oh!; procedes vocative","Ō"
sine,"+ abl., without",sine
"ager, agrī","m. 2nd field, farm","ager, agrī"
"agricola, agricolae",m. 1st farmer,"agricola, agricolae"
"amīcus, amīcī",m. 2nd friend,"amīcus, amīcī"
"amīca, amīcae",f. 1st friend,"amīca, amīcae"
"fēmina, fēminae",f. 1st woman,"fēmina, fēminae"
"fīlia, fīliae","f. 1st daughter, dat. and abl. pl. fīliābus","fīlia, fīliae"
"fīlius, fīliī",m. 2nd son,"fīlius, fīliī"
"numerus, numerī",m. 2nd number,"numerus, numerī"
"populus, populī","m. 2nd the people, a people, a nation","populus, populī"
"puer, puerī","m. 2nd boy, child","puer, puerī"
"sapientia, sapientiae",f. 1st wisdom,"sapientia, sapientiae"
"vir, virī","m. 2nd man, hero","vir, virī"
"avārus, avāra, avārum","greedy, avaricious","avārus, avāra, avārum"
"paucī, paucae, pauca","usually pl.few, a few","paucī, paucae, pauca"
"Rōmānus, Rōmāna, Rōmānum",Roman,"Rōmānus, Rōmāna, Rōmānum"
dē,"+ abl., down from, from; concerning, about",dē
in,"+ abl., in, + acc., into, toward, against",in
hodiē,today,hodiē
semper,always,semper
"habeō, habēre, habuī, habitum","to have, hold, possess; consider, regard","habeō, habēre, habuī, habitum"
"satiō, satiāre, satiāvī, satiātum","to satisfy, sate","satiō, satiāre, satiāvī, satiātum"
"bāsium, bāsiī",n. 2nd kiss,"bāsium, bāsiī"
"bellum, bellī",n. 2nd war,"bellum, bellī"
"cōnsilium, cōnsiliī","n. 2nd plan, purpose, counsel, advice, judgement, wisdom","cōnsilium, cōnsiliī"
"cūra, cūrae","f. 1st care, attention, caution, anxiety","cūra, cūrae"
"dōnum, dōnī","n. 2nd gift, present","dōnum, dōnī"
"exitium, exitiī","n. 2nd destruction, ruin","exitium, exitiī"
"magister, magistrī","m. 2nd schoolmaster, teacher, master","magister, magistrī"
