"1st pres. indic. act. 1st sg.","-ō","1st pres. indic. act. 1st sg."
"1st pres. indic. act. 2nd sg.","-ās","1st pres. indic. act. 2nd sg."
"1st pres. indic. act. 3rd sg.","-at","1st pres. indic. act. 3rd sg."
"1st pres. indic. act. 1st pl.","-āmus","1st pres. indic. act. 1st pl."
"1st pres. indic. act. 2nd pl.","-ātis","1st pres. indic. act. 2nd pl."
"1st pres. indic. act. 3rd pl.","-ant","1st pres. indic. act. 3rd pl."
"1st imperf. indic. act. 1st sg.","-ābam","1st imperf. indic. act. 1st sg."
"1st imperf. indic. act. 2nd sg.","-ābās","1st imperf. indic. act. 2nd sg."
"1st imperf. indic. act. 3rd sg.","-ābat","1st imperf. indic. act. 3rd sg."
"1st imperf. indic. act. 1st pl.","-ābāmus","1st imperf. indic. act. 1st pl."
"1st imperf. indic. act. 2nd pl.","-ābātis","1st imperf. indic. act. 2nd pl."
"1st imperf. indic. act. 3rd pl.","-ābant","1st imperf. indic. act. 3rd pl."
"1st fut. indic. act. 1st sg.","-ābō","1st fut. indic. act. 1st sg."
"1st fut. indic. act. 2nd sg.","-ābis","1st fut. indic. act. 2nd sg."
"1st fut. indic. act. 3rd sg.","-ābit","1st fut. indic. act. 3rd sg."
"1st fut. indic. act. 1st pl.","-ābimus","1st fut. indic. act. 1st pl."
"1st fut. indic. act. 2nd pl.","-ābitis","1st fut. indic. act. 2nd pl."
"1st fut. indic. act. 3rd pl.","-ābunt","1st fut. indic. act. 3rd pl."
"2nd pres. indic. act. 1st sg.","-eō","2nd pres. indic. act. 1st sg."
"2nd pres. indic. act. 2nd sg.","-ēs","2nd pres. indic. act. 2nd sg."
"2nd pres. indic. act. 3rd sg.","-et","2nd pres. indic. act. 3rd sg."
"2nd pres. indic. act. 1st pl.","-ēmus","2nd pres. indic. act. 1st pl."
"2nd pres. indic. act. 2nd pl.","-ētis","2nd pres. indic. act. 2nd pl."
"2nd pres. indic. act. 3rd pl.","-ent","2nd pres. indic. act. 3rd pl."
"2nd fut. indic. act. 1st sg.","-ēbō","2nd fut. indic. act. 1st sg."
"2nd fut. indic. act. 2nd sg.","-ēbis","2nd fut. indic. act. 2nd sg."
"2nd fut. indic. act. 3rd sg.","-ēbit","2nd fut. indic. act. 3rd sg."
"2nd fut. indic. act. 1st pl.","-ēbimus","2nd fut. indic. act. 1st pl."
"2nd fut. indic. act. 2nd pl.","-ēbitis","2nd fut. indic. act. 2nd pl."
"2nd fut. indic. act. 3rd pl.","-ēbunt","2nd fut. indic. act. 3rd pl."
"2nd imperf. indic. act. 1st sg.","-ēbam","2nd imperf. indic. act. 1st sg."
"2nd imperf. indic. act. 2nd sg.","-ēbās","2nd imperf. indic. act. 2nd sg."
"2nd imperf. indic. act. 3rd sg.","-ēbat","2nd imperf. indic. act. 3rd sg."
"2nd imperf. indic. act. 1st pl.","-ēbāmus","2nd imperf. indic. act. 1st pl."
"2nd imperf. indic. act. 2nd pl.","-ēbātis","2nd imperf. indic. act. 2nd pl."
"2nd imperf. indic. act. 3rd pl.","-ēbant","2nd imperf. indic. act. 3rd pl."
"3rd pres. indic. act. 1st sg.","-ō","3rd pres. indic. act. 1st sg."
"3rd pres. indic. act. 2nd sg.","-is","3rd pres. indic. act. 2nd sg."
"3rd pres. indic. act. 3rd sg.","-it","3rd pres. indic. act. 3rd sg."
"3rd pres. indic. act. 1st pl.","-imus","3rd pres. indic. act. 1st pl."
"3rd pres. indic. act. 2nd pl.","-itis","3rd pres. indic. act. 2nd pl."
"3rd pres. indic. act. 3rd pl.","-unt","3rd pres. indic. act. 3rd pl."
"3rd fut. indic. act. 1st sg.","-am","3rd fut. indic. act. 1st sg."
"3rd fut. indic. act. 2nd sg.","-ēs","3rd fut. indic. act. 2nd sg."
"3rd fut. indic. act. 3rd sg.","-et","3rd fut. indic. act. 3rd sg."
"3rd fut. indic. act. 1st pl.","-ēmus","3rd fut. indic. act. 1st pl."
"3rd fut. indic. act. 2nd pl.","-ētis","3rd fut. indic. act. 2nd pl."
"3rd fut. indic. act. 3rd pl.","-ent","3rd fut. indic. act. 3rd pl."
"3rd imperf. indic. act. 1st sg.","-ēbam","3rd imperf. indic. act. 1st sg."
"3rd imperf. indic. act. 2nd sg.","-ēbās","3rd imperf. indic. act. 2nd sg."
"3rd imperf. indic. act. 3rd sg.","-ēbat","3rd imperf. indic. act. 3rd sg."
"3rd imperf. indic. act. 1st pl.","-ēbāmus","3rd imperf. indic. act. 1st pl."
"3rd imperf. indic. act. 2nd pl.","-ēbātis","3rd imperf. indic. act. 2nd pl."
"3rd imperf. indic. act. 3rd pl.","-ēbant","3rd imperf. indic. act. 3rd pl."
"3rd io pres. indic. act. 1st sg.","-iō","3rd io pres. indic. act. 1st sg."
"3rd io pres. indic. act. 2nd sg.","-is","3rd io pres. indic. act. 2nd sg."
"3rd io pres. indic. act. 3rd sg.","-it","3rd io pres. indic. act. 3rd sg."
"3rd io pres. indic. act. 1st pl.","-imus","3rd io pres. indic. act. 1st pl."
"3rd io pres. indic. act. 2nd pl.","-itis","3rd io pres. indic. act. 2nd pl."
"3rd io pres. indic. act. 3rd pl.","-iunt","3rd io pres. indic. act. 3rd pl."
"3rd io fut. indic. act. 1st sg.","-iam","3rd io fut. indic. act. 1st sg."
"3rd io fut. indic. act. 2nd sg.","-iēs","3rd io fut. indic. act. 2nd sg."
"3rd io fut. indic. act. 3rd sg.","-iet","3rd io fut. indic. act. 3rd sg."
"3rd io fut. indic. act. 1st pl.","-iēmus","3rd io fut. indic. act. 1st pl."
"3rd io fut. indic. act. 2nd pl.","-iētis","3rd io fut. indic. act. 2nd pl."
"3rd io fut. indic. act. 3rd pl.","-ient","3rd io fut. indic. act. 3rd pl."
"3rd io imperf. indic. act. 1st sg.","-iēbam","3rd io imperf. indic. act. 1st sg."
"3rd io imperf. indic. act. 2nd sg.","-iēbās","3rd io imperf. indic. act. 2nd sg."
"3rd io imperf. indic. act. 3rd sg.","-iēbat","3rd io imperf. indic. act. 3rd sg."
"3rd io imperf. indic. act. 1st pl.","-iēbāmus","3rd io imperf. indic. act. 1st pl."
"3rd io imperf. indic. act. 2nd pl.","-iēbātis","3rd io imperf. indic. act. 2nd pl."
"3rd io imperf. indic. act. 3rd pl.","-iēbant","3rd io imperf. indic. act. 3rd pl."
"4th pres. indic. act. 1st sg.","-iō","4th pres. indic. act. 1st sg."
"4th pres. indic. act. 2nd sg.","-īs","4th pres. indic. act. 2nd sg."
"4th pres. indic. act. 3rd sg.","-it","4th pres. indic. act. 3rd sg."
"4th pres. indic. act. 1st pl.","-īmus","4th pres. indic. act. 1st pl."
"4th pres. indic. act. 2nd pl.","-ītis","4th pres. indic. act. 2nd pl."
"4th pres. indic. act. 3rd pl.","-iunt","4th pres. indic. act. 3rd pl."
"4th fut. indic. act. 1st sg.","-iam","4th fut. indic. act. 1st sg."
"4th fut. indic. act. 2nd sg.","-iēs","4th fut. indic. act. 2nd sg."
"4th fut. indic. act. 3rd sg.","-iet","4th fut. indic. act. 3rd sg."
"4th fut. indic. act. 1st pl.","-iēmus","4th fut. indic. act. 1st pl."
"4th fut. indic. act. 2nd pl.","-iētis","4th fut. indic. act. 2nd pl."
"4th fut. indic. act. 3rd pl.","-ient","4th fut. indic. act. 3rd pl."
"4th imperf. indic. act. 1st sg.","-iēbām","4th imperf. indic. act. 1st sg."
"4th imperf. indic. act. 2nd sg.","-iēbās","4th imperf. indic. act. 2nd sg."
"4th imperf. indic. act. 3rd sg.","-iēbat","4th imperf. indic. act. 3rd sg."
"4th imperf. indic. act. 1st pl.","-iēbāmus","4th imperf. indic. act. 1st pl."
"4th imperf. indic. act. 2nd pl.","-iēbātis","4th imperf. indic. act. 2nd pl."
"4th imperf. indic. act. 3rd pl.","-iēbant","4th imperf. indic. act. 3rd pl."
"perf. indic. act. 1st sg.","-ī","perf. indic. act. 1st sg."
"perf. indic. act. 2nd sg.","-istī","perf. indic. act. 2nd sg."
"perf. indic. act. 3rd sg.","-it","perf. indic. act. 3rd sg."
"perf. indic. act. 1st pl.","-imus","perf. indic. act. 1st pl."
"perf. indic. act. 2nd pl.","-istis","perf. indic. act. 2nd pl."
"perf. indic. act. 3rd pl.","-ērunt","perf. indic. act. 3rd pl."
"fut. perf. indic. act. 1st sg.","-erō","fut. perf. indic. act. 1st sg."
"fut. perf. indic. act. 2nd sg.","-eris","fut. perf. indic. act. 2nd sg."
"fut. perf. indic. act. 3rd sg.","-erit","fut. perf. indic. act. 3rd sg."
"fut. perf. indic. act. 1st pl.","-erimus","fut. perf. indic. act. 1st pl."
"fut. perf. indic. act. 2nd pl.","-eritis","fut. perf. indic. act. 2nd pl."
"fut. perf. indic. act. 3rd pl.","-erint","fut. perf. indic. act. 3rd pl."
"pluperf. indic. act. 1st sg.","-eram","pluperf. indic. act. 1st sg."
"pluperf. indic. act. 2nd sg.","-erās","pluperf. indic. act. 2nd sg."
"pluperf. indic. act. 3rd sg.","-erat","pluperf. indic. act. 3rd sg."
"pluperf. indic. act. 1st pl.","-erāmus","pluperf. indic. act. 1st pl."
"pluperf. indic. act. 2nd pl.","-erātis","pluperf. indic. act. 2nd pl."
"pluperf. indic. act. 3rd pl.","-erant","pluperf. indic. act. 3rd pl."
