Question,Answer,Name
ut + indic.,"as, just as, when",ut
comparative + quam,conj. after comparatives; than,comparative + quam
ut + subjunct.,"in order that, so that, that, in order to, so as to, to",ut + subjunct.
utram...an,whether...or,tram...an
-que,"and, appended to the second of two words",-que
et,and; even,et
et ... et,both … and,et ... et
"neque, nec",and not; nor,"neque, nec"
neque ... neque,neither ... nor,neque ... neque
sed,but,sed
sī,if,sī
"ac, atque","and also, and even, and in fact","ac, atque"
aut,or,aut
aut ... aut,either ... or,aut ... aut
autem,"postpositive; however, moreover",autem
enim,"postpositive; for, in fact, truly",enim
at,"more emotional than sed; but; but mind you; but, you say;",at
nam,for,nam
quod,because,quod
dum,"while, as long as, at the same time that",dum
igitur,"therefore, consequently",igitur
quandō,when,quandō
quoniam,"since, inasmuch as",quoniam
-ve,or,-ve
cum,"conj. + subjunct. when, since, although; conj. + indic. when",cum
dummodo,"conj.+ subjunc. provided that, so long as",dummodo
