Question,Answer,Name
"adulēscēns, adulēscentis",m./f. 3rd young man or woman,"adulēscēns, adulēscentis"
"adulēscentia, adulēscentiae","f. 1st youth, young manhood; youthfulness","adulēscentia, adulēscentiae"
"aedificium, aedificiī","n. 2nd building, structure","aedificium, aedificiī"
"aes, aeris",n. 3rd bronze,"aes, aeris"
"aestās, aestātis",f. 3rd summer,"aestās, aestātis"
"ager, agrī","m. 2nd field, farm","ager, agrī"
"agricola, agricolae",m. 1st farmer,"agricola, agricolae"
"amīca, amīcae",f. 1st friend,"amīca, amīcae"
"amīcitia, amīcitiae",f. 1st friendship,"amīcitia, amīcitiae"
"amīcus, amīcī",m. 2nd friend,"amīcus, amīcī"
"amor, amōris",m. 3rd love,"amor, amōris"
"anima, animae","f. 1st air (breathed by an animal), breath; soul spirit","anima, animae"
"animal, animālis","n. 3rd a living creature, animal","animal, animālis"
"animī, animōrum","m. 2nd pl. high spirits, pride, courage","animī, animōrum"
"animus, animī","m. 2nd soul, spirit, mind","animus, animī"
"annus, annī",m. 2nd year,"annus, annī"
"aqua, aquae",f. 1st water,"aqua, aquae"
"arca, arcae","f. 1st box, chest","arca, arcae"
"argūmentum, argūmentī","n. 2nd proof, evidence, argument","argūmentum, argūmentī"
"arma, armōrum","n. pl. 2nd arms, weapons","arma, armōrum"
"ars, artis","f. 3rd art, skill","ars, artis"
"arx, arcis","f. 3rd citadel, fortress","arx, arcis"
"as, assis","m. 3rd an as (a small copper coin, comparable to a penny)","as, assis"
"auctor, auctōris","m. 3rd increaser; author, originator","auctor, auctōris"
"auris, auris",f. 3rd ear,"auris, auris"
"auxilium, auxiliī","n. 2nd aid, help","auxilium, auxiliī"
"avāritia, avāritiae",f. 1st avarice,"avāritia, avāritiae"
"barba, barbae",f. 1st beard,"barba, barbae"
"bāsium, bāsiī",n. 2nd kiss,"bāsium, bāsiī"
"bellum, bellī",n. 2nd war,"bellum, bellī"
"beneficium, beneficiī","n. 2nd benefit, kindness; favor","beneficium, beneficiī"
"benevolentia, benevolentiae","f. 1st benevolence, kindness, goodwill","benevolentia, benevolentiae"
"bōs, bōvis",f. 3rd cow,"bōs, bōvis"
"bracchium, bracchiī",n. 2nd arm,"bracchium, bracchiī"
"caelum, caelī","n. 2nd sky, heaven","caelum, caelī"
"cappilus, cappilī",m. 2nd hair,"cappilus, cappilī"
"caput, capitis",n. 3rd head; leader; beginning; life; heading; chapter,"caput, capitis"
"carmen, carmenis","n. 3rd song, poem","carmen, carmenis"
"casa, casae","f. 1st house, cottage, hut","casa, casae"
"cāseus, cāseī",m. 2nd cheese,"cāseus, cāseī"
"castra, castrōrum",n. 2nd pl. camp (military),"castra, castrōrum"
"catēna, catēnae",f. 1st chain,"catēna, catēnae"
"cauda, caudae",f. 1st tail,"cauda, caudae"
"causa, causae","f. 1st cause, reason; case","causa, causae"
"cavea, caveae",f. 1st cage,"cavea, caveae"
"caverna, cavernae",f. 1st cave,"caverna, cavernae"
"cēna, cēnae","f. 1st dinner, meal","cēna, cēnae"
"cīvis, cīvis",m./f. 3rd citizen,"cīvis, cīvis"
"cīvitās, cīvitātis","f. 3rd state, citizenship","cīvitās, cīvitātis"
"clēmentia, clēmentiae","f. 1st clemency, mercy","clēmentia, clēmentiae"
"cliēns, clientis","m. 3rd client, dependent","cliēns, clientis"
"collum, collī",n 2nd neck,"collum, collī"
"cōnsilium, cōnsiliī","n. 2nd plan, purpose, counsel, advice, judgement, wisdom","cōnsilium, cōnsiliī"
"cōnsul, cōnsulis",m. 3rd consul,"cōnsul, cōnsulis"
"cōpia, cōpiae","f. 1st abundance, supply","cōpia, cōpiae"
"cōpiae, cōpiārum","f. 1st pl. supplies, troops, forces","cōpiae, cōpiārum"
"cornū, cornūs",n. 4th horn,"cornū, cornūs"
"corōna, corōnae",f. 1st crown,"corōna, corōnae"
"corpus, corporis",n. 3rd body,"corpus, corporis"
"crūstulum, crūstulī",m. 2nd cookie,"crūstulum, crūstulī"
"culpa, culpae","f. 1st fault, blame","culpa, culpae"
"cūnctātiō, cūnctātiōnis",f. 3rd delay,"cūnctātiō, cūnctātiōnis"
"cupiditās, cupiditātis","f. 3rd desire, longing, passion; cupidity","cupiditās, cupiditātis"
"cupīdō, cupīdinis","f. 3rd desire, passion","cupīdō, cupīdinis"
"cūra, cūrae","f. 1st care, attention, caution, anxiety","cūra, cūrae"
"cursus, cursūs","m. 4th running, race; course","cursus, cursūs"
"custōdia, custōdiae","f. 1st protection, custody pl. guards","custōdia, custōdiae"
"custōs, custōdis","m. 3rd guard, watchman","custōs, custōdis"
"dea, deae","f. 1st goddess, dat. + abl. pl. deābus","dea, deae"
"dēlectātio, dēlectātiōnis","f. 3rd delight, pleasure, enjoyment","dēlectātio, dēlectātiōnis"
"deus, deī","m. 2nd god, voc. sg. deus, nom. pl. dī, dat. + abl. pl. dīs","deus, deī"
"diēs, diēī",m. 5th day,"diēs, diēī"
"digitus, digitī","m. 2nd finger, toe","digitus, digitī"
"dignitās, dignitātis","f. 3rd merit, prestige, dignity","dignitās, dignitātis"
"dīmidium, dīmidiī",n. 2nd half,"dīmidium, dīmidiī"
"discipula, discipulae","f. 1st learner, pupil, student","discipula, discipulae"
"discipulus, discipulī","m. 2nd learner, pupil, student","discipulus, discipilī"
"dīvitiae, dīvitiārum","f. 1st pl. riches, wealth","dīvitiae, dīvitiārum"
"dolor, dolōris","m 3rd pain, grief","dolor, dolōris"
"dolor, dolōris","m. 3rd pain, grief","dolor, dolōris"
"domina, dominae","f. 1st mistress, lady","domina, dominae"
"dominus, dominī","m. 2nd master (of a household), lord","dominus, dominī"
"domus, domūs","f. 4th house, home","domus, domūs"
"dōnum, dōnī","n. 2nd gift, present","dōnum, dōnī"
"dux, ducis","m. 3rd leader, guide; commander, general","dux, ducis"
"elephantus, elephantī","m. and f. 2nd, elephant","elephantus, elephantī"
"eques, equitis",m. 3rd horseman,"eques, equitis"
"equus, equī",m. 2nd horse,"equus, equī"
"error, errōris","m. 3rd a going estray, error, mistake","error, errōris"
"exemplar, exemplāris","n. 3rd model, original","exemplar, exemplāris"
"exercitus, exercitūs",m. 4th army,"exercitus, exercitūs"
"exitium, exitiī","n. 2nd destruction, ruin","exitium, exitiī"
"exsilium, exsiliī","n. 2nd exile, banishment (often without the -s-, exilium)","exsilium, exsiliī"
"fābula, fābulae","f. 1st story, tale; play","fābula, fābulae"
"factum, factī","n. 2nd deed, act, achievment","factum, factī"
"fāma, fāmae","f. 1st rumor, report; fame, reputation","fāma, fāmae"
"familia, familiae","f. 1st household, family","familia, familiae"
"fātum, fāti",n. 2nd fate; death; often pl. the fates,"fātum, fāti"
"fēmina, fēminae",f. 1st woman,"fēmina, fēminae"
"fenestra, fenestrae",f. 1st window,"fenestra, fenestrae"
"ferrum, ferrī",n. 2nd iron; sword,"ferrum, ferrī"
"fidēs, fideī","f. 5th faith, trust, trustworthiness, fidelity; promise, gauraentee, protection","fidēs, fideī"
"fīlia, fīliae","f. 1st daughter, dat. and abl. pl. fīliābus","fīlia, fīliae"
"fīlius, fīliī",m. 2nd son,"fīlius, fīliī"
"fīnēs, fīnium","m. 3rd boundaries, territory","fīnēs, fīnium"
"fīnis, fīnis","m. 3rd end, limit, boundary; purpose","fīnis, fīnis"
"flamma, flammae",f. 1st flame,"flamma, flammae"
"flōr, flōris",m. 3rd flower,"flōr, flōris"
"flūmen, flūminis",n. 3rd river,"flūmen, flūminis"
"fōrma, fōrmae","f. 1st form, shape; beauty","fōrma, fōrmae"
"formīca, formīcae",f. 1st ant,"formīca, formīcae"
"fortūna, fortūnae","f. 1st fortune, luck","fortūna, fortūnae"
"forum, forī","n 2nd marketplace, forum","forum, forī"
"frāter, frātris",m. 3rd brother,"frāter, frātris"
"frūctus, frūctūs","m. 4th fruit; profit, benefit, enjoyment","frūctus, frūctūs"
"galea, galeae",f. 1st helmet,"galea, galeae"
"gemma, gemmae","f. 1st jewel, gem","gemma, gemmae"
"gēns, gentis","f. 3rd clan, race, nation, people","gēns, gentis"
"genū, genūs",n. 4th knee,"genū, genūs"
"genus, generis","n. 3rd origin; kind, type, sort, class","genus, generis"
"glōria, glōriae","f. 1st glory, fame","glōria, glōriae"
"gremium, gremiī",n. 2nd lap,"gremium, gremiī"
"habēna, habēnae",f. 1st strap; (plural) reigns,"habēna, habēnae"
"hasta, hastae",f. 1st spear,"hasta, hastae"
"homō, hominis","m. 3rd human being, man","homō, hominis"
"honor, honōris","m. 3rd honor, office","honor, honōris"
"hōra, hōrae","f. 1st hour, time","hōra, hōrae"
"hostēs, hostium",m. 3rd the enemy,"hostēs, hostium"
"hostis, hostis",m. 3rd an enemy (of the state),"hostis, hostis"
"humus, humī","m. 2nd ground, earth; soil","humus, humī"
"iānua, iānuae",f. 1st door,"iānua, iānuae"
